learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
98000.0,1.469585683,7.196101310306952E-9,98000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,98000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
99000.0,1.481420724,7.254053803334633E-9,99000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,99000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
100000.0,1.493069231,7.3110928977239455E-9,100000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,100000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
101000.0,1.506657571,7.377630747411813E-9,101000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,101000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
102000.0,1.518291315,7.4345975520089256E-9,102000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,102000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
103000.0,1.530248951,7.493150354396136E-9,103000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,103000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
104000.0,1.542029651,7.550836756548118E-9,104000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,104000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
105000.0,1.554006595,7.609484104170566E-9,105000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,105000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
106000.0,1.56602399,7.668329527684382E-9,106000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,106000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
107000.0,1.577864776,7.726310152179664E-9,107000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,107000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
108000.0,1.589786678,7.78468797634873E-9,108000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,108000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
109000.0,1.601535292,7.842217263397243E-9,109000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,109000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
110000.0,1.613623956,7.901411668906608E-9,110000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,110000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
111000.0,1.628030021,7.97195366208338E-9,111000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,111000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
112000.0,1.640058879,8.030855216321845E-9,112000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,112000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
113000.0,1.652500272,8.091776825388271E-9,113000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,113000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
114000.0,1.664398415,8.150038309167655E-9,114000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,114000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
115000.0,1.676813645,8.210831806208522E-9,115000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,115000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
116000.0,1.68939962,8.272461388094556E-9,116000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,116000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
117000.0,1.70203524,8.334334066013494E-9,117000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,117000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
118000.0,1.714398545,8.394873302574786E-9,118000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,118000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
119000.0,1.727107113,8.457103184026976E-9,119000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,119000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
120000.0,1.739787892,8.519196991440322E-9,120000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,120000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
121000.0,1.758732095,8.611960826586517E-9,121000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,121000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
122000.0,1.778688344,8.709680334362718E-9,122000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,122000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
123000.0,1.799220461,8.810219687566989E-9,123000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,123000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
